District code,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Workers,Male_Workers,Female_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,LPG_or_PNG_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Total_Power_Parity,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Above_Rs_545000,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Ownership_Owned_Households,Ownership_Rented_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,sex_ratio,Literacy Rate,Youth_Dependency_Ratio,Elderly_Dependency_Ratio
546,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,1964918,1972048,2652389,1379223,1273166,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,3800609,1773112,1199338,573774,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,1007255,248373,435334,1152,1017568,12050,55613,5485,1011,2260,1477,193,720167,694857,2051513,1127764,755533,830550,71679,5319,5684,836015,207958,338966,593261,100.0,67.0,181.90977899631486,66.99389233917734
547,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,2267375,2250023,3009718,1598959,1410759,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,2048880,1327299,721581,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,909292,567042,632890,1359,1163932,30438,101450,6983,1054,2557,2029,364,897201,863417,2340943,1284630,833959,955030,81787,6370,6886,863382,328243,387804,611878,99.0,67.0,182.22702256680913,64.91822548126697
548,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,2440521,2447292,2960441,1634726,1325715,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,2381624,1442370,939254,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,1069877,513113,648568,1292,1186028,19383,80434,6981,1119,2657,1953,317,904201,762845,2583462,1371811,928462,972992,117838,10388,11313,981115,276073,465404,554667,100.0,61.0,188.3249223107265,67.6814809037105
549,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,1714764,1682684,1904435,1107686,796749,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,3119253,1700567,991842,708725,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,873486,214089,290947,640,763746,6151,43611,4304,855,1845,1128,127,528518,321332,1832695,917391,641707,643184,89358,10022,11413,717208,127205,406577,197300,98.0,56.0,199.77250703353315,69.94912747127452
552,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,2039227,2014236,2127161,1246369,880792,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,2029425,1164122,865303,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,783853,306982,195001,820,816721,10081,56478,5301,1042,2163,1355,185,702120,353289,2368684,1053618,609027,652567,109416,18819,22549,710444,156505,431425,227045,99.0,52.0,224.81430651336632,57.803397436262486
553,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,2064495,2016653,2310960,1338474,972486,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,2036166,1208544,827622,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,902997,341431,223016,824,897970,8606,48299,5799,969,2252,1605,243,755971,353948,2189396,1104565,739612,718794,115052,15584,17947,779195,172680,528245,225275,98.0,57.0,198.2134143305283,66.9595723203252
554,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,2090204,2083860,2667878,1484794,1183084,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,1933357,1202223,731134,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,907970,395900,324406,640,944555,13763,67087,5926,1021,2270,1565,307,754648,382377,2148179,1159053,807430,757090,105579,10901,12183,815953,196720,539408,342011,100.0,64.0,185.3391518765751,69.66290583778309
555,Karnataka,Belgaum,16.16107219152853,74.72329042357275,4779661,2423063,2356598,3052032,1725548,1326484,544564,1057297,609600,532584,279583,201884,56621,3282133,1346776,4628909,2105668,1372422,733246,2673993,711980,649517,60342,683829,4038331,528412,18418,2037,1086,178310,149,962777,356198,240742,1749,808827,17560,73497,7045,1016,1973,1572,308,779974,316225,2669348,1251116,857143,644950,146890,38909,48893,811672,126662,392344,340306,97.0,64.0,213.35735455385435,68.51027402734839
556,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,1889752,950111,939641,1113412,641388,472024,242336,385986,147397,171505,115095,82319,25791,1170429,608843,1779272,818081,511575,306506,1071671,196199,303243,44797,273842,1634229,219991,3433,443,412,25198,166,324799,165858,49345,183,301389,3745,26297,2890,380,811,694,89,272956,66813,1123443,465706,299774,229586,54042,17545,23049,287059,54451,166611,102487,99.0,59.0,241.23438392462197,64.36979553623961
558,Karnataka,Bidar,17.950361730769224,77.19459961538459,1703300,870665,832635,1042673,597198,445475,188998,474921,194233,181076,105347,54900,12885,1212360,515395,1727755,702608,459050,243558,1000692,141302,280091,18095,263120,1289709,335184,35438,1145,30453,680,521,287134,102269,34924,647,271439,3971,36072,2448,377,735,529,50,214601,72805,1018195,397120,287271,216975,52444,11996,15020,278386,30830,120499,92061,96.0,61.0,256.39479250604353,72.33858783239323
559,Karnataka,Raichur,16.050795353982295,76.87368606194688,1928812,964511,964301,979769,577213,402556,147743,385673,163709,153346,82082,50463,14622,997638,783126,1780764,903413,530373,373040,1025399,245299,383526,19095,255493,1634062,272022,10394,538,2265,4156,29,330446,125402,51443,614,314547,5200,33903,2672,438,807,516,80,286629,74326,1196670,465173,265810,245971,52518,14498,18639,300223,48296,141853,86575,100.0,51.0,257.25267803591356,57.14218151096474
560,Karnataka,Koppal,15.651253271028034,76.1617048598131,1389920,699926,689994,809085,468785,340300,222140,357098,127605,113028,72243,43967,10431,946512,472182,1418694,654766,387974,266792,735154,163413,273016,18794,199543,1218024,161770,4081,296,85,2898,461,272968,64681,31673,178,223166,2135,15263,1889,317,577,394,42,218749,47931,855430,330393,202984,175862,36424,11419,14711,212484,41112,127416,58883,99.0,58.0,258.9128704300636,61.43713698534775
561,Karnataka,Gadag,15.507128256880746,75.64861302752298,1064570,537147,527423,700177,397178,302999,121615,244640,112703,105150,63816,42053,12822,702799,306138,1008937,495722,310412,185310,568848,127441,200310,15485,152486,907750,143665,3432,231,79,5993,74,180066,111906,31959,166,198064,3373,15625,1699,218,479,402,49,191541,45668,601578,279069,183409,146711,28500,8075,10233,175742,32788,96873,63805,98.0,66.0,215.56604280661773,65.72173906811577
